실트,자갈,분급,염분,오염_주성분1,KMeans_cluster,id,target,rank
53.767258,2.131936,2.2410797,32.266284,-0.7925596306570286,2,316,0,3
52.4964855,2.38813575,2.22463505,32.312201,-0.8321828884902545,2,317,0,3
35.540126,0.564265085,1.6340227,31.337345,-1.5468730411977336,1,401,0,4
36.3769065,0.54155427,1.7440035,31.393658,-1.2786180477769162,1,402,0,4
35.9984395,0.550978805,1.8169592,31.4253205,-0.9426461323716399,2,403,0,3
35.249894,0.575082365,1.7756819,31.4701005,-0.659101449260636,2,404,0,3
34.6235455,0.616843005,1.6935244,31.4829575,-0.49455169297165924,2,405,0,3
55.4524365,1.89226755,2.29488045,32.106431,-0.7780245594109008,2,494,0,3
53.66319,2.2531306,2.2596677,32.201117,-0.8184327786154926,2,495,0,3
51.8391615,2.6148749,2.23056695,32.262879,-0.8624399046185807,2,496,0,3
50.316422,2.91447655,2.2081052,32.307753,-0.9066288211661372,2,497,0,3
26.507095,0.52969422,1.2238433,31.240366,-1.441202852404862,1,578,0,4
31.538491,0.51156327,1.43367,31.2874255,-1.6490522093525979,1,579,0,4
36.72886,0.45960027,1.6610039,31.320869,-1.8156597336258655,1,580,0,4
38.080099,0.452311385,1.84102475,31.383376,-1.4606502618908674,1,581,0,4
35.940663,0.5219484,2.0429689,31.425333,-0.9859068560865984,2,582,0,3
34.6221985,0.520601675,1.9004683,31.4611,-0.6727963201060593,2,583,0,3
33.975871,0.52190776,1.72329,31.476468,-0.49770804520123707,2,584,0,3
33.284812,0.60298469,1.6108412,31.4680835,-0.40354135875558683,2,585,0,3
50.1867565,0.762395175,1.94336495,31.702385,-0.1582568788129558,2,649,0,3
52.459799,0.44580973,1.9282056,31.542312,-0.11873073096966505,2,650,0,3
42.5900885,0.41538914,1.6482871,31.5179615,-0.08818433509397662,2,651,0,3
58.424695,1.3872721,2.3953654,31.952011,-0.765392522920723,2,672,0,3
56.297201,1.8166163,2.3439677,32.036401,-0.8033598536929987,2,673,0,3
53.492699,2.3857976,2.2858121,32.103335,-0.849868719097114,2,674,0,3
48.500666,3.3961634,2.1835849,32.254219,-0.9543955303735684,2,676,0,3
47.2205615,3.63280905,2.16325045,32.257533,-1.0015058986795553,2,677,0,3
17.2067395,0.411311525,0.9030432,31.172337,-1.166081521879471,1,756,0,4
